symbol,name,market,asset_type,kospi200
009580,무림P&P,KOSPI,STOCK,N
009680,모토닉,KOSPI,STOCK,N
009770,삼정펄프,KOSPI,STOCK,N
009810,플레이그램,KOSPI,STOCK,N
009830,한화솔루션,KOSPI,STOCK,Y
009835,한화솔루션우,KOSPI,STOCK,N
009900,명신산업,KOSPI,STOCK,N
009970,영원무역홀딩스,KOSPI,STOCK,Y
010040,한국내화,KOSPI,STOCK,N
010060,OCI홀딩스,KOSPI,STOCK,Y
010100,한국무브넥스,KOSPI,STOCK,N
010120,LS ELECTRIC,KOSPI,STOCK,Y
010130,고려아연,KOSPI,STOCK,Y
010140,삼성중공업,KOSPI,STOCK,Y
010400,우진아이엔에스,KOSPI,STOCK,N
010580,에스엠벡셀,KOSPI,STOCK,N
010640,진양폴리,KOSPI,STOCK,N
010660,화천기계,KOSPI,STOCK,N
010690,화신,KOSPI,STOCK,N
010770,평화홀딩스,KOSPI,STOCK,N
010780,아이에스동서,KOSPI,STOCK,N
010820,퍼스텍,KOSPI,STOCK,N
010950,S-Oil,KOSPI,STOCK,Y
010955,S-Oil우,KOSPI,STOCK,N
010960,삼호개발,KOSPI,STOCK,N
011000,진원생명과학,KOSPI,STOCK,N
011070,LG이노텍,KOSPI,STOCK,Y
011090,에넥스,KOSPI,STOCK,N
011150,CJ씨푸드,KOSPI,STOCK,N
011155,CJ씨푸드1우,KOSPI,STOCK,N
011170,롯데케미칼,KOSPI,STOCK,Y
011200,HMM,KOSPI,STOCK,Y
011210,현대위아,KOSPI,STOCK,Y
011230,삼화전자,KOSPI,STOCK,N
011280,태림포장,KOSPI,STOCK,N
011300,성안머티리얼스,KOSPI,STOCK,N
011330,유니켐,KOSPI,STOCK,N
0113321,유니켐 41WR,KOSPI,STOCK,N
011390,부산산업,KOSPI,STOCK,N
011420,갤럭시아에스엠,KOSPI,STOCK,N
011500,한농화성,KOSPI,STOCK,N
011690,와이투솔루션,KOSPI,STOCK,N
011700,한신기계,KOSPI,STOCK,N
011760,현대코퍼레이션,KOSPI,STOCK,N
011780,금호석유화학,KOSPI,STOCK,Y
011785,금호석유화학우,KOSPI,STOCK,N
011790,SKC,KOSPI,STOCK,Y
011810,STX,KOSPI,STOCK,N
011930,신성이엔지,KOSPI,STOCK,N
012030,DB,KOSPI,STOCK,N
012160,영흥,KOSPI,STOCK,N
012170,아센디오,KOSPI,STOCK,N
012200,계양전기,KOSPI,STOCK,N
012205,계양전기우,KOSPI,STOCK,N
012280,영화금속,KOSPI,STOCK,N
012320,경동인베스트,KOSPI,STOCK,N
012330,현대모비스,KOSPI,STOCK,Y
012450,한화에어로스페이스,KOSPI,STOCK,Y
012510,더존비즈온,KOSPI,STOCK,Y
012610,경인양행,KOSPI,STOCK,N
012630,HDC,KOSPI,STOCK,Y
012690,모나리자,KOSPI,STOCK,N
012750,에스원,KOSPI,STOCK,Y
012800,대창,KOSPI,STOCK,N
013000,세우글로벌,KOSPI,STOCK,N
013360,일성건설,KOSPI,STOCK,N
013520,화승코퍼레이션,KOSPI,STOCK,N
013570,디와이,KOSPI,STOCK,N
013580,계룡건설,KOSPI,STOCK,N
013700,까뮤이앤씨,KOSPI,STOCK,N
013870,지엠비코리아,KOSPI,STOCK,N
013890,지누스,KOSPI,STOCK,N
014130,한익스프레스,KOSPI,STOCK,N
014160,대영포장,KOSPI,STOCK,N
014280,금강공업,KOSPI,STOCK,N
014285,금강공업우,KOSPI,STOCK,N
014440,영보화학,KOSPI,STOCK,N
014530,극동유화,KOSPI,STOCK,N
014580,태경비케이,KOSPI,STOCK,N
014680,한솔케미칼,KOSPI,STOCK,Y
014710,사조씨푸드,KOSPI,STOCK,N
014790,HL D&I,KOSPI,STOCK,N
014820,동원시스템즈,KOSPI,STOCK,N
014825,동원시스템즈우,KOSPI,STOCK,N
014830,유니드,KOSPI,STOCK,N
014910,성문전자,KOSPI,STOCK,N
014915,성문전자우,KOSPI,STOCK,N
014990,인디에프,KOSPI,STOCK,N
015020,이스타코,KOSPI,STOCK,N
015230,대창단조,KOSPI,STOCK,N
015260,에이엔피,KOSPI,STOCK,N
015360,INVENI,KOSPI,STOCK,N
015590,DKME,KOSPI,STOCK,N
015760,한국전력,KOSPI,STOCK,Y
015860,일진홀딩스,KOSPI,STOCK,N
015890,태경산업,KOSPI,STOCK,N
016090,대현,KOSPI,STOCK,N
016360,삼성증권,KOSPI,STOCK,Y
016380,KG스틸,KOSPI,STOCK,N
016450,한세예스24홀딩스,KOSPI,STOCK,N
016580,환인제약,KOSPI,STOCK,N
016590,신대양제지,KOSPI,STOCK,N
016610,DB증권,KOSPI,STOCK,N
016710,대성홀딩스,KOSPI,STOCK,N
016740,두올,KOSPI,STOCK,N
016800,퍼시스,KOSPI,STOCK,N
016880,웅진,KOSPI,STOCK,N
017040,광명전기,KOSPI,STOCK,N
017180,명문제약,KOSPI,STOCK,N
017370,우신시스템,KOSPI,STOCK,N
017390,서울가스,KOSPI,STOCK,N
017550,수산세보틱스,KOSPI,STOCK,N
017670,SK텔레콤,KOSPI,STOCK,Y
017800,현대엘리베이터,KOSPI,STOCK,Y
017810,풀무원,KOSPI,STOCK,N
017860,DS단석,KOSPI,STOCK,N
017900,광전자,KOSPI,STOCK,N
017940,E1,KOSPI,STOCK,N
017960,한국카본,KOSPI,STOCK,Y
0180021,유니슨 15WR,KOSPI,STOCK,N
018064,한진칼우,KOSPI,STOCK,N
018250,애경산업,KOSPI,STOCK,N
018260,삼성에스디에스,KOSPI,STOCK,Y
018470,조일알미늄,KOSPI,STOCK,N
